      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
7.959e+06,3.345e+0,-6.796e-2,3.419e-2,-2.039e-1,3.311e-2,1.359e-3,6.837e-4,-4.077e-3,1.106e-1,-6.796e-3,2.631e-1,-6.277e+0,8.547e-4,2.711e-20,1.008e+2,-6.190e+0,1.145e-2,-6.072e-2,1.557e-2,-1.238e-1
8.163e+06,3.344e+0,-6.635e-2,3.254e-2,-1.990e-1,3.312e-2,1.327e-3,6.508e-4,-3.981e-3,1.107e-1,-6.635e-3,2.502e-1,-6.121e+0,8.136e-4,-2.711e-20,1.007e+2,-6.040e+0,1.091e-2,-5.930e-2,1.481e-2,-1.208e-1
8.367e+06,3.344e+0,-6.481e-2,3.101e-2,-1.944e-1,3.313e-2,1.296e-3,6.203e-4,-3.889e-3,1.107e-1,-6.481e-3,2.381e-1,-5.972e+0,7.753e-4,0.000e+3,1.007e+2,-5.897e+0,1.040e-2,-5.795e-2,1.411e-2,-1.179e-1
8.571e+06,3.343e+0,-6.334e-2,2.959e-2,-1.900e-1,3.314e-2,1.267e-3,5.918e-4,-3.801e-3,1.107e-1,-6.334e-3,2.270e-1,-5.830e+0,7.397e-4,-1.355e-20,1.007e+2,-5.760e+0,9.924e-3,-5.665e-2,1.345e-2,-1.152e-1
8.776e+06,3.343e+0,-6.194e-2,2.826e-2,-1.858e-1,3.314e-2,1.239e-3,5.652e-4,-3.716e-3,1.107e-1,-6.194e-3,2.165e-1,-5.695e+0,7.065e-4,-1.355e-20,1.006e+2,-5.630e+0,9.481e-3,-5.541e-2,1.284e-2,-1.126e-1
8.98e+06,3.342e+0,-6.059e-2,2.702e-2,-1.818e-1,3.315e-2,1.212e-3,5.403e-4,-3.635e-3,1.107e-1,-6.059e-3,2.068e-1,-5.566e+0,6.754e-4,0.000e+3,1.006e+2,-5.505e+0,9.066e-3,-5.422e-2,1.227e-2,-1.101e-1
9.184e+06,3.342e+0,-5.930e-2,2.585e-2,-1.779e-1,3.316e-2,1.186e-3,5.171e-4,-3.558e-3,1.108e-1,-5.930e-3,1.977e-1,-5.443e+0,6.463e-4,0.000e+3,1.006e+2,-5.386e+0,8.678e-3,-5.308e-2,1.174e-2,-1.077e-1
9.388e+06,3.342e+0,-5.806e-2,2.476e-2,-1.742e-1,3.317e-2,1.161e-3,4.953e-4,-3.484e-3,1.108e-1,-5.806e-3,1.892e-1,-5.325e+0,6.191e-4,0.000e+3,1.006e+2,-5.271e+0,8.314e-3,-5.198e-2,1.124e-2,-1.054e-1
9.592e+06,3.341e+0,-5.687e-2,2.374e-2,-1.706e-1,3.318e-2,1.137e-3,4.748e-4,-3.412e-3,1.108e-1,-5.687e-3,1.813e-1,-5.212e+0,5.935e-4,0.000e+3,1.005e+2,-5.162e+0,7.972e-3,-5.093e-2,1.077e-2,-1.032e-1
9.796e+06,3.341e+0,-5.573e-2,2.278e-2,-1.672e-1,3.318e-2,1.115e-3,4.556e-4,-3.344e-3,1.108e-1,-5.573e-3,1.738e-1,-5.103e+0,5.695e-4,0.000e+3,1.005e+2,-5.056e+0,7.651e-3,-4.992e-2,1.033e-2,-1.011e-1
1e+07,3.341e+0,-5.464e-2,2.188e-2,-1.639e-1,3.319e-2,1.093e-3,4.375e-4,-3.278e-3,1.108e-1,-5.464e-3,1.668e-1,-4.999e+0,5.469e-4,0.000e+3,1.005e+2,-4.955e+0,7.349e-3,-4.895e-2,9.920e-3,-9.910e-2
